building_id,timestamp,power_consumption,temperature,humidity,occupancy,floor,room_type
B001,2023-01-01 00:00:00,3.25,3.5,39.2,8.6,1,office
B001,2023-01-01 01:00:00,0.0,6.1,63.8,10.6,1,office
B001,2023-01-01 02:00:00,6.49,6.5,34.2,6.5,1,office
B001,2023-01-01 03:00:00,0.0,0.2,24.0,11.6,1,office
B001,2023-01-01 04:00:00,4.35,6.2,61.5,2.7,1,office
B001,2023-01-01 05:00:00,0.0,5.2,34.8,6.0,1,office
B001,2023-01-01 06:00:00,1.38,9.9,28.2,8.0,1,office
B001,2023-01-01 07:00:00,0.0,9.7,57.0,5.9,1,office
B001,2023-01-01 08:00:00,13.11,1.4,60.8,8.8,1,office
B001,2023-01-01 09:00:00,5.68,8.5,45.7,10.5,1,office
B001,2023-01-01 10:00:00,14.16,2.2,48.4,7.8,1,office
B001,2023-01-01 11:00:00,28.67,7.7,47.7,5.6,1,office
B001,2023-01-01 12:00:00,23.2,6.3,58.4,12.4,1,office
B001,2023-01-01 13:00:00,12.54,8.8,32.0,11.5,1,office
B001,2023-01-01 14:00:00,13.98,4.1,50.2,4.4,1,office
B001,2023-01-01 15:00:00,14.52,5.1,26.4,5.7,1,office
B001,2023-01-01 16:00:00,16.11,-1.4,40.8,13.8,1,office
B001,2023-01-01 17:00:00,17.65,4.3,68.9,3.2,1,office
B001,2023-01-01 18:00:00,10.98,6.9,63.1,14.2,1,office
B001,2023-01-01 19:00:00,14.53,7.5,80.0,14.1,1,office
B001,2023-01-01 20:00:00,14.29,5.6,52.9,11.4,1,office
B001,2023-01-01 21:00:00,0.0,8.6,44.3,2.0,1,office
B001,2023-01-01 22:00:00,6.13,7.8,67.8,9.1,1,office
B001,2023-01-01 23:00:00,0.0,4.2,58.1,1.5,1,office
B001,2023-01-02 00:00:00,5.5,5.3,54.3,6.2,1,office
B001,2023-01-02 01:00:00,6.8,4.3,48.5,2.6,1,office
B001,2023-01-02 02:00:00,5.87,4.8,48.8,19.0,1,office
B001,2023-01-02 03:00:00,1.29,6.2,29.9,11.1,1,office
B001,2023-01-02 04:00:00,4.02,6.6,32.9,10.4,1,office
B001,2023-01-02 05:00:00,9.89,7.8,44.3,12.1,1,office
B001,2023-01-02 06:00:00,10.36,4.8,41.7,6.5,1,office
B001,2023-01-02 07:00:00,12.28,8.4,43.8,2.7,1,office
B001,2023-01-02 08:00:00,64.53,1.6,41.2,57.6,1,office
B001,2023-01-02 09:00:00,61.21,-0.2,25.0,65.7,1,office
B001,2023-01-02 10:00:00,84.2,5.9,50.3,78.6,1,office
B001,2023-01-02 11:00:00,51.64,5.5,67.3,63.3,1,office
B001,2023-01-02 12:00:00,84.79,3.4,65.4,90.9,1,office
B001,2023-01-02 13:00:00,72.66,2.0,63.8,75.8,1,office
B001,2023-01-02 14:00:00,88.64,6.9,51.3,75.7,1,office
B001,2023-01-02 15:00:00,71.93,-0.5,66.1,57.8,1,office
B001,2023-01-02 16:00:00,115.92,5.3,54.1,99.3,1,office
B001,2023-01-02 17:00:00,95.71,5.2,55.0,85.1,1,office
B001,2023-01-02 18:00:00,113.37,-0.7,39.8,93.2,1,office
B001,2023-01-02 19:00:00,25.94,1.4,32.2,11.9,1,office
B001,2023-01-02 20:00:00,32.23,4.3,21.6,6.4,1,office
B001,2023-01-02 21:00:00,31.9,9.1,20.0,9.1,1,office
B001,2023-01-02 22:00:00,21.62,3.0,68.6,10.6,1,office
B001,2023-01-02 23:00:00,15.38,8.6,40.2,8.6,1,office
B001,2023-01-03 00:00:00,0.64,8.4,59.6,1.8,1,office
B001,2023-01-03 01:00:00,6.67,9.1,38.3,14.9,1,office
B001,2023-01-03 02:00:00,9.29,10.4,70.1,5.5,1,office
B001,2023-01-03 03:00:00,11.29,3.5,40.2,8.5,1,office
B001,2023-01-03 04:00:00,5.99,0.9,43.4,9.2,1,office
B001,2023-01-03 05:00:00,10.75,12.5,30.4,18.8,1,office
B001,2023-01-03 06:00:00,10.05,1.1,32.0,15.8,1,office
B001,2023-01-03 07:00:00,0.0,8.3,55.4,13.3,1,office
B001,2023-01-03 08:00:00,77.59,6.1,26.9,84.7,1,office
B001,2023-01-03 09:00:00,83.31,8.5,45.2,75.2,1,office
B001,2023-01-03 10:00:00,119.55,1.5,36.0,93.1,1,office
B001,2023-01-03 11:00:00,64.06,0.9,53.8,63.0,1,office
B001,2023-01-03 12:00:00,84.41,4.0,66.2,100.0,1,office
B001,2023-01-03 13:00:00,69.44,4.1,20.0,76.8,1,office
B001,2023-01-03 14:00:00,65.88,4.0,64.2,82.4,1,office
B001,2023-01-03 15:00:00,89.01,9.6,24.6,72.5,1,office
B001,2023-01-03 16:00:00,68.73,6.9,54.8,59.0,1,office
B001,2023-01-03 17:00:00,63.86,4.5,51.8,57.0,1,office
B001,2023-01-03 18:00:00,97.15,4.1,20.0,64.2,1,office
B001,2023-01-03 19:00:00,18.1,6.1,26.9,8.5,1,office
B001,2023-01-03 20:00:00,34.13,11.8,52.9,7.7,1,office
B001,2023-01-03 21:00:00,39.57,11.0,53.5,13.1,1,office
B001,2023-01-03 22:00:00,30.59,5.5,47.8,14.0,1,office
B001,2023-01-03 23:00:00,1.92,8.7,60.1,6.9,1,office
B001,2023-01-04 00:00:00,0.0,6.0,37.7,15.9,1,office
